_id,RSS,Region,Nom_etablissement,Nom_installation,No_permis_installation,Nombre_de_civieres_fonctionnelles,Nombre_de_civieres_occupees,Nombre_de_patients_sur_civiere_plus_de_24_heures,Nombre_de_patients_sur_civiere_plus_de_48_heures,Nombre_total_de_patients_presents_a_lurgence,Nombre_total_de_patients_en_attente_de_PEC,DMS_sur_civiere,DMS_ambulatoire,DMS_sur_civiere_horaire,DMS_ambulatoire_horaire,Heure_de_l'extraction_(image),Mise_a_jour,Timestamp,Source_File
43,5,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE DE SANTÉ ET DE SERVICES SOCIAUX DU GRANIT,51223832.0,5,7,0,0,8,0,8.57,4.0,8:34,4:00,01:00:00,2025-12-30T1:45,2025-12-30 01:45:00,urgence_2025-12-30_01H.csv
43,5,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE DE SANTÉ ET DE SERVICES SOCIAUX DU GRANIT,51223832.0,5,6,0,0,6,0,8.57,4.0,8:34,4:00,02:00:00,2025-12-30T2:45,2025-12-30 02:45:00,urgence_2025-12-30_02H.csv
43,5,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE DE SANTÉ ET DE SERVICES SOCIAUX DU GRANIT,51223832.0,5,6,0,0,6,0,8.57,4.0,8:34,4:00,03:00:00,2025-12-30T3:45,2025-12-30 03:45:00,urgence_2025-12-30_03H.csv
43,5,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE DE SANTÉ ET DE SERVICES SOCIAUX DU GRANIT,51223832.0,5,6,0,0,6,0,8.57,4,8:34,4:00,04:00:00,2025-12-30T4:45,2025-12-30 04:45:00,urgence_2025-12-30_04H.csv
43,5,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE DE SANTÉ ET DE SERVICES SOCIAUX DU GRANIT,51223832.0,5,6,0,0,6,0,8.57,4.0,8:34,4:00,05:00:00,2025-12-30T5:45,2025-12-30 05:45:00,urgence_2025-12-30_05H.csv
43,5,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE DE SANTÉ ET DE SERVICES SOCIAUX DU GRANIT,51223832.0,5,6,0,0,11,4,8.57,4.0,8:34,4:00,07:00:00,2025-12-30T7:45,2025-12-30 07:45:00,urgence_2025-12-30_07H.csv
43,5,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE DE SANTÉ ET DE SERVICES SOCIAUX DU GRANIT,51223832.0,5,7,0,0,11,3,8.57,4.0,8:34,4:00,08:00:00,2025-12-30T8:45,2025-12-30 08:45:00,urgence_2025-12-30_08H.csv
43,5,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE DE SANTÉ ET DE SERVICES SOCIAUX DU GRANIT,51223832.0,5,7,0,0,12,4,8.57,4.0,8:34,4:00,09:00:00,2025-12-30T9:45,2025-12-30 09:45:00,urgence_2025-12-30_09H.csv
43,5,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE DE SANTÉ ET DE SERVICES SOCIAUX DU GRANIT,51223832.0,5,5,1,0,13,6,8.57,4.0,8:34,4:00,12:00:00,2025-12-30T12:45:00,2025-12-30 12:45:00,urgence_2025-12-30_12H.csv
43,5,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE DE SANTÉ ET DE SERVICES SOCIAUX DU GRANIT,51223832.0,5,4,1,0,15,9,8.57,4.0,8:34,4:00,13:00:00,2025-12-30T13:45:00,2025-12-30 13:45:00,urgence_2025-12-30_13H.csv
43,5,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE DE SANTÉ ET DE SERVICES SOCIAUX DU GRANIT,51223832.0,5,4,2,0,12,7,8.57,4.0,8:34,4:00,14:00:00,2025-12-30T14:45:00,2025-12-30 14:45:00,urgence_2025-12-30_14H.csv
43,5,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE DE SANTÉ ET DE SERVICES SOCIAUX DU GRANIT,51223832.0,5,3,1,0,11,6,8.57,4.0,8:34,4:00,15:00:00,2025-12-30T15:45:00,2025-12-30 15:45:00,urgence_2025-12-30_15H.csv
43,5,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE DE SANTÉ ET DE SERVICES SOCIAUX DU GRANIT,51223832.0,5,3,1,0,12,5,8.57,4.0,8:34,4:00,16:00:00,2025-12-30T16:45:00,2025-12-30 16:45:00,urgence_2025-12-30_16H.csv
43,5,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE DE SANTÉ ET DE SERVICES SOCIAUX DU GRANIT,51223832.0,5,3,1,0,10,4,8.57,4.0,8:34,4:00,17:00:00,2025-12-30T17:45:00,2025-12-30 17:45:00,urgence_2025-12-30_17H.csv
43,5,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE DE SANTÉ ET DE SERVICES SOCIAUX DU GRANIT,51223832.0,5,4,2,0,16,10,8.57,4.0,8:34,4:00,19:00:00,2025-12-30T19:45:00,2025-12-30 19:45:00,urgence_2025-12-30_19H.csv
43,5,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE DE SANTÉ ET DE SERVICES SOCIAUX DU GRANIT,51223832.0,5,3,2,0,10,3,8.57,4.0,8:34,4:00,22:00:00,2025-12-30T22:45:00,2025-12-30 22:45:00,urgence_2025-12-30_22H.csv
43,5,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE DE SANTÉ ET DE SERVICES SOCIAUX DU GRANIT,51223832.0,5,3,2,0,5,0,8.57,4.0,8:34,4:00,23:00:00,2025-12-30T23:45:00,2025-12-30 23:45:00,urgence_2025-12-30_23H.csv
43,5,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE DE SANTÉ ET DE SERVICES SOCIAUX DU GRANIT,51223832.0,5,3,2,0,4,0,16.95,3.92,16:57,3:55,00:00:00,2025-12-31T00:45:00,2025-12-31 00:45:00,urgence_2025-12-31_00H.csv
43,5,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE DE SANTÉ ET DE SERVICES SOCIAUX DU GRANIT,51223832.0,5,3,2,0,5,2,16.95,3.92,16:57,3:55,01:00:00,2025-12-31T01:45:00,2025-12-31 01:45:00,urgence_2025-12-31_01H.csv
43,5,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE DE SANTÉ ET DE SERVICES SOCIAUX DU GRANIT,51223832.0,5,4,2,0,5,0,16.95,3.92,16:57,3:55,02:00:00,2025-12-31T02:45:00,2025-12-31 02:45:00,urgence_2025-12-31_02H.csv
43,5,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE DE SANTÉ ET DE SERVICES SOCIAUX DU GRANIT,51223832.0,5,5,2,0,6,1,16.95,3.92,16:57,3:55,03:00:00,2025-12-31T03:45:00,2025-12-31 03:45:00,urgence_2025-12-31_03H.csv
